IMDb_Title_ID,Original_Title,Release_Year,Genre,Duration,Country,Content Rating,Director,Income,Votes,Score
tt4154796,Avengers: Endgame,,"Action, Adventure, Drama",181,USA,,"Anthony Russo, Joe Russo",$ 2797800564,754.786,8.2
tt0078788,Apocalypse Now,,"Drama, Mystery, War",147,USA,R,Francis Ford Coppola,$ 91968688,591.251,8.2
tt0364569,Oldeuboi,,"Action, Drama, Mystery",120,South Korea,R,Chan-wook Park,$ 15002116,501.082,8.1
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,Comedy,95,UK,PG,Stanley Kubrick,$ 9443876,441.115,8.1
tt0047396,Rear Window,,"Mystery, Thriller",112,USA,,Alfred Hitchcock,$ 37032034,432.39,8.1
tt2380307,Coco,,"Animation, Adventure, Family",105,USA,,"Lee Unkrich, Adrian Molina",$ 807083670,352.455,8.1
tt0405094,Das Leben der Anderen,,"Drama, Mystery, Thriller",137,Germany,R,Florian Henckel von Donnersmarck,$ 77356942,349.642,8.1
tt4633694,Spider-Man: Into the Spider-Verse,,"Animation, Action, Adventure",117,USA,,"Bob Persichetti, Peter Ramsey",$ 375540831,335.892,8.1
tt1187043,3 Idiots,,"Comedy, Drama",170,India,,Rajkumar Hirani,$ 60262836,332.217,8.1
tt0119698,Mononoke-hime,,"Animation, Adventure, Fantasy",134,Japan,PG-13,Hayao Miyazaki,$ 169785629,331.045,8.0
tt0087843,Once Upon a Time in America,,"Crime, Drama",229,USA,R,Sergio Leone,$ 5472914,302.317,8.0
tt0032553,The Great Dictator,,"Comedy, Drama, War",125,USA,,Charles Chaplin,$ 969879,197.381,8.0
tt0043014,Sunset Blvd.,,"Drama, Film-Noir",110,USA,,Billy Wilder,$ 299645,195.789,8.0
tt0361748,Inglourious Basterds,,"Adventure, Drama, War",153,Germany,R,Quentin Tarantino,$ 321455689,,8.0
tt0169547,American Beauty,,Drama,122,USA,R,Sam Mendes,$ 356296601,,8.0
tt0112573,Braveheart,,"Biography, Drama, History",178,USA,R,Mel Gibson,$ 213216216,941.683,7.9
tt0086190,Star Wars: Episode VI - Return of the Jedi,,"Action, Adventure, Fantasy",131,USA,PG,Richard Marquand,$ 475347111,928.036,7.9
tt0105236,Reservoir Dogs,,"Crime, Drama, Thriller",99,USA,R,Quentin Tarantino,$ 2889963,896.551,7.9
tt0338013,Eternal Sunshine of the Spotless Mind,,"Drama, Romance, Sci-Fi",108,USA,R,Michel Gondry,$ 74036715,889.875,7.9
tt0114709,Toy Story,,"Animation, Adventure, Comedy",81,USA,G,John Lasseter,$ 404265438,864.461,7.9
